,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,entity.name,entity.cik,inventory,current_liability,debt,equity,eps
0,2020,1/1/21,8681700000,666100000,412900000,19789800000,3521200000,MOSAIC CO,1285785,1739200000,3146500000,4073800000,9581400000,1.76
1,2019,1/1/20,8906300000,-1067400000,-1094900000,19298500000,3718200000,Mosaic Co,1285785,2076400000,2591700000,4525500000,9185500000,-2.78
2,2018,1/1/19,9587300000,470000000,928300000,20119200000,4237000000,Mosaic Co,1285785,2270200000,2483700000,4491500000,10397300000,1.22
3,2017,1/1/18,7409400000,-107200000,465700000,18633400000,4616500000,Mosaic Co,1285785,1533900000,2031100000,4878100000,9617500000,-0.31
4,2016,1/1/17,7162800000,297800000,319000000,16840700000,3057700000,MOSAIC CO,1285785,1391100000,1476800000,3779300000,9584600000,0.85
5,2015,1/1/16,8895300000,1000400000,1278800000,17389500000,4143400000,MOSAIC CO,1285785,1563500000,2047000000,3769500000,9531800000,2.79
6,2014,1/1/15,9055800000,1028600000,1311800000,18283000000,5215500000,MOSAIC CO,1285785,1718300000,1596700000,3778000000,10703100000,2.69
7,2013,1/1/14,4765900000,331600000,416900000,19554000000,8105800000,MOSAIC CO,1285785,1432900000,3265900000,3008900000,11302300000,0.8
8,2013,31/5/13,9974100000,1873500000,2209600000,18086000000,6880500000,MOSAIC CO,1285785,1557300000,1764900000,1009600000,13425400000,4.44
9,2012,31/5/12,11107800000,1917500000,2611100000,16690400000,6581100000,MOSAIC CO,1285785,1237600000,1917700000,1010000000,11999400000,4.44
10,2011,31/5/11,9937800000,2518500000,2664200000,15786900000,6684900000,MOSAIC CO,1285785,1266400000,1928500000,761300000,11641600000,5.62
11,2010,31/5/10,6759100000,827100000,1270800000,12707700000,4974800000,MOSAIC CO,1285785,1002300000,1303900000,,8722200000,1.86
12,2009,31/5/09,,2350200000,2400900000,,,,,,,,,5.29
